subject_id	trial 	image 	position of image	sugar/free	bid	reaction time 	Q1	Q2	Q3	Q4	gender	age	day
s1	1	23	1	0	15	10.258897700000034	4	3	1	3	0	23	1
s1	2	16	2	1	0	4.1545993999998245	3	1	2	1	0	23	1
s1	3	29	2	0	40	6.218513699999676	5	4	2	5	0	23	1
s1	4	12	2	1	55	10.319552700000258	4	2	2	3	0	23	1
s1	5	49	2	0	70	12.913586399999986	5	5	1	5	0	23	1
s1	6	56	1	1	90	14.85815139999977	2	2	2	3	0	23	1
s1	7	5	2	0	15	6.702337300000181	5	5	1	5	0	23	1
s1	8	39	2	0	0	6.1161566999999195	5	3	1	2	0	23	1
s1	9	37	1	0	20	19.715534599999955	5	5	1	3	0	23	1
s1	10	44	2	1	0	3.1916292999999314	3	3	2	2	0	23	1
s1	11	58	2	1	0	2.8395011999996314	4	2	1	2	0	23	1
s1	12	10	2	1	55	5.451017700000193	4	2	1	3	0	23	1
s1	13	47	2	0	30	2.335910899999817	5	4	1	4	0	23	1
s1	14	34	1	1	20	10.696193000000221	3	3	1	3	0	23	1
s1	15	7	1	0	30	14.179831899999954	5	5	1	5	0	23	1
s1	16	27	1	0	0	2.1119659999999385	5	3	1	1	0	23	1
s1	17	6	2	1	70	7.9715102999998635	3	3	2	4	0	23	1
s1	18	4	2	1	0	2.2200488999997106	3	1	2	2	0	23	1
s1	19	36	1	1	25	2.477557799999886	5	1	2	3	0	23	1
s1	20	22	1	1	0	1.7723958999999923	1	1	1	1	0	23	1
s1	21	51	1	0	30	17.444689500000095	4	3	1	3	0	23	1
s1	22	32	1	1	50	2.8655737999997655	3	2	1	3	0	23	1
s1	23	13	1	0	80	15.471425599999748	5	3	2	4	0	23	1
s1	24	35	2	0	25	6.8529842000002645	5	1	2	2	0	23	1
s1	25	9	1	0	55	16.42763879999984	5	4	1	4	0	23	1
s1	26	53	1	0	15	2.884978300000057	4	4	2	3	0	23	1
s1	27	40	1	1	0	2.12527880000016	3	3	1	1	0	23	1
s1	28	2	1	1	0	16.654758700000002	2	2	2	2	0	23	1
s1	29	3	1	0	0	2.9322455999999875	3	4	2	3	0	23	1
s1	30	41	2	0	0	7.462449200000265	5	3	2	2	0	23	1
s1	31	21	1	0	50	6.286836799999946	5	4	2	5	0	23	1
s1	32	43	1	0	0	17.14686939999956	4	3	2	3	0	23	1
s1	33	30	2	1	40	3.1577704999999696	4	5	2	4	0	23	1
s1	34	19	2	0	0	5.893983899999512	3	3	2	2	0	23	1
s1	35	26	2	1	10	6.490233499999704	4	3	1	3	0	23	1
s1	36	50	2	1	0	10.245851700000458	3	2	2	2	0	23	1
s1	37	46	1	1	0	2.4244216000006418	2	3	1	2	0	23	1
s1	38	14	2	1	30	21.578904900000452	4	2	2	3	0	23	1
s1	39	24	2	1	0	1.9994704000000638	3	2	1	2	0	23	1
s1	40	54	2	1	20	26.611892899999475	3	2	1	2	0	23	1
s1	41	48	1	1	0	1.8699945999996999	4	1	1	1	0	23	1
s1	42	55	1	0	0	2.4643342999997913	2	3	1	1	0	23	1
s1	43	1	1	0	0	26.87182819999998	4	2	2	3	0	23	1
s1	44	11	2	0	40	6.268624000000273	4	2	2	3	0	23	1
s1	45	18	1	1	0	4.635945199999696	2	2	1	2	0	23	1
s1	46	31	2	0	0	1.9951070999995864	3	4	1	2	0	23	1
s1	47	38	2	1	15	5.598220999999285	4	4	2	4	0	23	1
s1	48	8	2	1	80	3.534532599999693	3	4	2	5	0	23	1
s1	49	15	1	0	15	2.8640871999996307	3	2	2	5	0	23	1
s1	50	59	2	0	0	1.5256744999996954	3	3	1	1	0	23	1
s1	51	45	1	0	20	3.574248500000067	5	4	1	3	0	23	1
s1	52	42	1	1	0	2.17214309999963	3	2	1	1	0	23	1
s1	53	17	2	0	0	1.584177599999748	3	3	2	1	0	23	1
s1	54	60	1	1	0	1.7939560000004349	3	4	1	2	0	23	1
s1	55	52	1	1	20	5.249565999999504	3	2	1	3	0	23	1
s1	56	20	2	1	0	4.561104499999601	2	2	2	2	0	23	1
s1	57	25	2	0	40	3.347298900000169	4	4	1	3	0	23	1
s1	58	57	1	0	10	2.4269615000002887	4	3	1	3	0	23	1
s1	59	33	2	0	30	2.27188390000083	4	4	1	2	0	23	1
s1	60	28	1	1	0	1.5786504999996396	3	2	1	1	0	23	1
s2	1	59	1	0	20	5.225651799999923	4	4	2	2	1	19	2
s2	2	33	1	0	40	2.233330399999886	5	3	3	5	1	19	2
s2	3	44	2	1	25	3.4478025999997044	3	4	2	3	1	19	2
s2	4	15	1	0	40	2.1141053999999713	4	4	1	5	1	19	2
s2	5	28	2	1	25	4.803089799999725	4	5	1	1	1	19	2
s2	6	42	2	1	45	2.3386496000002808	2	2	2	3	1	19	2
s2	7	32	2	1	40	3.893747600000097	5	2	5	5	1	19	2
s2	8	2	1	1	20	1.7972353000000112	4	2	4	2	1	19	2
s2	9	9	1	0	0	3.758420699999988	3	3	3	3	1	19	2
s2	10	41	2	0	55	4.338551400000142	5	4	2	4	1	19	2
s2	11	14	2	1	80	2.6424016999999367	1	4	5	4	1	19	2
s2	12	38	2	1	15	2.2681077000006553	4	4	1	3	1	19	2
s2	13	19	1	0	6	24.10266270000011	3	4	3	2	1	19	2
s2	14	3	2	0	5	5.682741200000237	5	4	3	4	1	19	2
s2	15	17	1	0	0	1.5576335999994626	1	3	1	1	1	19	2
s2	16	51	1	0	30	6.483181099999456	5	3	2	5	1	19	2
s2	17	22	2	1	0	1.2399217000001954	1	3	2	1	1	19	2
s2	18	37	2	0	30	8.179978999999548	5	5	1	2	1	19	2
s2	19	53	1	0	20	2.120033700000022	2	2	1	3	1	19	2
s2	20	7	2	0	50	2.8475413000005574	5	5	1	5	1	19	2
s2	21	21	2	0	70	1.9716128000000026	5	3	1	5	1	19	2
s2	22	30	2	1	0	8.581590900000265	4	5	2	1	1	19	2
s2	23	31	1	0	40	2.308293899999626	5	4	4	5	1	19	2
s2	24	1	1	0	20	4.1813046999996	5	3	3	5	1	19	2
s2	25	24	1	1	40	3.0635449999999764	4	3	1	5	1	19	2
